date,title
NOVEMBER 12 2024,Vodafone’s revenue drops in Germany
NOVEMBER 11 2024,Trump and Germany loom over uncertain COP29 finance talks
NOVEMBER 10 2024,Consumer anger over high prices piles pressure on politicians
,Will Friedrich Merz get Germany to abandon its fiscal fetish?
NOVEMBER 9 2024,The eastern inheritance of united Germany
NOVEMBER 8 2024,German Chancellor Scholz signals concessions on timing of confidence vote
NOVEMBER 7 2024,The highs and lows of the ‘Trump trade’
,A swift election can end Germany’s political paralysis
,How Scholz finally found his voice and called time on the German coalition
,German opposition leader Merz calls for snap elections
,EU leaders strain for unity after Trump win and German crisis
,Kaput by Wolfgang Münchau — Germany’s great decline
NOVEMBER 6 2024,The end of Germany’s dysfunctional coalition offers Europe new hope
,German government collapses as Scholz sacks finance minister
NOVEMBER 5 2024,How election day unfolded in the US
,Elected AfD official among 8 arrested over alleged German far-right plot
NOVEMBER 4 2024,Is Germany’s business model broken?
,German vice-chancellor extends olive branch to avert coalition collapse
,The ‘mother-in-law’ of German coalitions
NOVEMBER 3 2024,Germany’s top economic panel gripped by strife amid internal lawsuit
NOVEMBER 1 2024,Adidas is outrunning Nike — and its comeback has legs
OCTOBER 31 2024,Sick man of Europe? Germany’s bosses sound alarm on staff illness
OCTOBER 30 2024,Volkswagen is in crisis again. Can it be reformed?
,Ikea to pay €6mn to compensate for forced labour by ex-prisoners in East Germany
,Eurozone economy grows 0.4% in third quarter
OCTOBER 29 2024,German coalition teeters on brink of break-up
OCTOBER 28 2024,How contested votes and foreign influence are rocking EU accession
,Poland tells Ukraine to exhume second world war victims despite Russia’s invasion
,Germany will play a pivotal role in Ukraine’s future
,Volkswagen plans to close at least 3 German plants and cut thousands of jobs
OCTOBER 24 2024,Germany’s five-year tax haul to fall nearly €60bn short of forecast
,"Eurozone economic activity still in decline, PMI survey shows"
,"‘Bad numbers, bad mood’: recession hits Germany’s Mittelstand"
OCTOBER 23 2024,Germany’s chip ambitions hit after US tech group shelves plant plans
OCTOBER 22 2024,How Picasso’s friend Heinz Berggruen amassed one of the world’s great private art collections
,Rheinmetall to make gun barrels in the UK as part of new defence pact
OCTOBER 21 2024,What Germany’s new naval base means for Baltic security
OCTOBER 18 2024,How cold warriors used hard science
,German president urges US to remember its ‘indispensable’ alliance with Europe
OCTOBER 17 2024,Corporate Germany is on sale
OCTOBER 16 2024,Hot Property: five covetable homes in Berlin
,German space chief defends Europe investment model against Draghi’s proposal
OCTOBER 14 2024,Europe urgently needs a dose of Franco-German couples therapy
,"Suspected sabotage almost caused German plane crash, says spy chief"
OCTOBER 12 2024,Writer Bernhard Schlink on German war guilt and the resurgent far right
,Artists Elmgreen & Dragset: ‘We dress up the white cube in drag’
OCTOBER 10 2024,EU to delay new electronic border checks
,Germany’s choice
OCTOBER 9 2024,Germany’s ‘deplorable’ divide on the Ukraine war
,Germany expects economy to shrink in 2024 after cutting forecast
OCTOBER 8 2024,A Commerzbank takeover? Some Mittelstand executives say why not
