date,title,sentiment
2024-11-22 17:52:41,German Stocks Close Sharply Higher,0.358
2024-11-22 17:11:01,The DAX Index Closes 0.92% Higher,0.3612
2024-11-22 17:06:38,Germany stocks higher at close of trade; DAX up 0.83%,0.6092
2024-11-22 16:51:11,DAX Index Posts Gains as Germany Dodges Technical Recession,0.3226
2024-11-22 12:21:45,European stocks gain depite disappointing economic data,-0.3506
2024-11-22 10:04:03,DAX Falls After Weak PMIs,-0.6124
2024-11-22 00:00:00,Global stocks rise as US private sector growth hits 2.5-year high,0.7579
2024-11-22 00:00:00,"Geopolitics, ECB Limit European Bourses Midday",-0.0052
2024-11-22 00:00:00,European Equities Rise in Friday Trading; Germany GDP Edges Up in Q3,0.6959
2024-11-22 00:00:00,S&P 500 Moves Higher; Intuit Shares Fall Following Q1 Results,0.296
2024-11-21 17:52:14,German Stocks Rebound,0.0142
2024-11-21 17:17:52,German Stocks Recover Ahead of Key Economic Data,0.0155
2024-11-21 17:11:13,The DAX Index Closes 0.74% Higher,0.3612
2024-11-21 17:07:30,Germany stocks mixed at close of trade; DAX up 0.75%,0.3559
2024-11-21 12:17:59,Nobody wants Europe right now,0.0194
2024-11-21 12:14:08,"European stocks higher; earnings, regional sentiment data in focus",0.3674
2024-11-21 10:32:07,Buybacks to help lagging Europe,-0.2675
2024-11-21 10:06:41,"STOXX 600 snaps four-day losing streak on energy, tech boost",-0.3674
2024-11-21 09:23:27,Hope you're keeping up,0.3705
2024-11-21 09:08:42,DAX Edges Lower,-0.3612
2024-11-21 08:41:50,"European shares edge lower, tech stocks drag after Nvidia's disappointing forecast",-0.4272
2024-11-21 07:50:34,Europe before the bell: busy busy,0.0103
2024-11-21 00:00:00,European Equities Close Higher in Thursday Trading; Eurozone Consumer Confidence Drops,0.0116
2024-11-21 00:00:00,Wall Street and FTSE higher amid strong US jobs market and UK borrowing hitting £17.4bn,0.5068
2024-11-20 17:11:16,Germany's DAX Index Extends Losing Streak; Producer Prices Drop,-0.5559
2024-11-20 17:06:39,Germany stocks mixed at close of trade; DAX down 0.31%,-0.3664
2024-11-20 16:19:20,German Stocks Erase Gains,0.34
2024-11-20 12:40:51,UK watch: higher inflation dents BoE cut hopes,0.5396
2024-11-20 12:00:50,"European markets edge lower after UK inflation surprise, geopolitical concerns",-0.5045
2024-11-20 11:54:00,"Metzler sees challenging start to 2025 for German stocks amid economic, political risks",-0.6124
2024-11-20 10:53:22,Rising bond yields no problem for equities - UBS,0.067
2024-11-20 10:11:07,Europe's STOXX 600 flat in volatile trading; real estate weighs,-0.0129
2024-11-20 09:22:30,Tech stocks lift STOXX as real estate drags,-0.1618
2024-11-20 08:39:29,"Banks, construction shares lead rebound in Europe's STOXX 600",0.3248
2024-11-20 08:31:17,The DAX Index Opens 0.57% Higher,0.3612
2024-11-20 00:00:00,European Equities Close Lower in Wednesday Trading; ECB Sees Elevated Financial Stability Risk,-0.6
2024-11-20 00:00:00,Stocks lacklustre as traders await Nvidia earnings while UK inflation climbs above BoE target,0.1796
2024-11-20 00:00:00,"Russia, Nvidia Views Lift European Bourses Midday",0.009
2024-11-19 17:06:38,Germany stocks lower at close of trade; DAX down 0.67%,-0.6155
2024-11-19 14:54:33,European markets fall sharply after Putin's nuclear threat; risk sentiment wanes,-0.7565
